tab_id,prgId,parent_context,tab_level,tab_label,default_active,fields_summary,sub_tabs,toolbar_in_tab,grid_columns,posting_effect,bluearm_target,audited,notes
outstanding-po-default,E040307,Outstanding P/O Status,L2,Default,yes,Outstanding P/O Qty range,,,,,/app/buying/reports,yes,Pass 7 Jul 2026
payment-status-default,E040310,Payment Status,L2,Default,yes,"Vendor, dept, PIC filters",,,,,/app/buying/reports,yes,Pass 7 Jul 2026
cash-book-default,E010801,Cash Book,L2,Default,yes,"Dept, project, Include Deposit",,,,,/app/finance/reports,yes,Pass 5 Jul 2026
form-purchase-load-slip,E040303,Load Slip modal,L2,Slip type picker,yes,"PO/GR/SO/quotation/etc. source types",,,,,/app/finance/supplier-invoices/new,yes,Pass 5 Jul 2026
form-purchase-po-picker,E040303,Purchase Order picker modal,L2,Default,yes,"PO No., vendor, item filters; Apply Residual Qty",,,,,/app/finance/supplier-invoices/new,yes,Pass 8 Jul 2026
pending-shipment-default,E040228,Pending Shipment Status,L2,Default,yes,As-of + Pending Shipment Qty,,,,,/app/selling/reports,yes,Pass 8 Jul 2026
pending-shipment-type-line,E040228,Pending Shipment Type,L2,by Line,yes,,,,,,/app/selling/reports,yes,
shipping-order-status-status,E040222,Shipping Order Status Menu,L2,Status,yes,Details/Summary/by Line,,,,,/app/selling/reports,yes,Pass 8 Jul 2026
shipping-order-status-summary,E040222,Shipping Order Status Menu,L2,Summary,no,,,,,,/app/selling/reports,yes,
payable-status-default,E040722,Payable Status,L2,Default,yes,As-of date mirror Receivable Status,,,,,/app/buying/reports,yes,Pass 8 Jul 2026
sales-discount-default,E040216,Sales Discount Status,L2,Default,yes,Discount Amount range filter,,,,,/app/selling/reports,yes,Pass 9 Jul 2026
preinvoicing-sales-default,E040609,Pre-Invoicing Status (Sales),L2,Default,yes,Base Date as-of + Amount,,,,,/app/selling/reports,yes,Pass 9 Jul 2026
cv-book-ar-default,E040723,Customer/Vendor Book I (AR),L2,Default,yes,Summary Type By Slip+Details,,,,,/app/selling/reports,yes,Pass 9 Jul 2026
cv-book-ar-type-slip,E040723,Customer/Vendor Book I (AR) Type,L2,By Slip + Details,yes,,,,,,/app/selling/reports,yes,
purchase-discount-default,E040313,Purchase Discount Status,L2,Default,yes,Discount Amount range,,,,,/app/buying/reports,yes,Pass 9 Jul 2026
pr-status-default,E040318,Purchase Request Status,L2,Default,yes,PR No. + Delivery Date,,,,,/app/buying/reports,yes,Pass 9 Jul 2026
pr-status-type-details,E040318,Purchase Request Status Type,L2,Details,yes,,,,,,/app/buying/reports,yes,
purchase-plan-default,E041015,Purchase Plan Status,L2,Default,yes,Delivery Date + item status filters,,,,,/app/buying/reports,yes,Pass 9 Jul 2026
preinvoicing-purchase-default,E040319,Pre-Invoicing Status (Purchases),L2,Default,yes,Base Date as-of + Amount,,,,,/app/buying/reports,yes,Pass 9 Jul 2026
cv-book-ap-default,E040724,Customer/Vendor Book I (AP),L2,Default,yes,Mirror AR book for vendors,,,,,/app/buying/reports,yes,Pass 9 Jul 2026
sales-invoice-inv-default,N000119,Sales Invoice Status (Inv.),L2,Default,yes,Accounting Slip No. + Tax Entity + Status Confirm,,,,,/app/selling/reports,yes,Pass 10 Jul 2026
sales-invoice-inv-status-confirm,N000119,Sales Invoice Status (Inv.) Status,L2,Confirm,yes,All/e-Approval/Unconfirmed/Confirm,,,,,/app/selling/reports,yes,
monthly-receivable-default,E040713,Monthly Receivable Change Details,L2,Default,yes,Month range + customer relation,,,,,/app/selling/reports,yes,Pass 10 Jul 2026
purchase-invoice-inv-default,N000127,Purchase Invoice Status (Inv.),L2,Default,yes,Mirror N000119 minus Tax Entity,,,,,/app/buying/reports,yes,Pass 10 Jul 2026
purchase-invoice-inv-status-confirm,N000127,Purchase Invoice Status (Inv.) Status,L2,Confirm,yes,All/e-Approval/Unconfirmed/Confirm,,,,,/app/buying/reports,yes,
monthly-payable-default,E040714,Monthly Payable Fluctuation,L2,Default,yes,Month range mirror E040713,,,,,/app/buying/reports,yes,Pass 10 Jul 2026
arap-status-default,E040703,AR/AP Status,L2,Default,yes,As-of date + customer relation,,,,,/app/reports,yes,Pass 10 Jul 2026
arap-status-type-receivable,E040703,AR/AP Status Type,L2,Receivable,yes,Payables and Receivable/Payable toggles,,,,,/app/reports,yes,
daily-profit-default,E040806,Daily Profit Status,L2,Default,yes,by Item + FIFO cost + Pretax Amount,,,,,/app/reports,yes,Pass 10 Jul 2026
daily-profit-all,E040806,Daily Profit Status,L2,All,no,Comparison period + horizontal view options,,,,,/app/reports,yes,
daily-profit-type-item,E040806,Daily Profit Status Type,L2,by Item,yes,by Line/Customer/Item combos,,,,,/app/reports,yes,
daily-costing-default,E040807,Daily Costing Status,L2,Default,yes,As-of + FIFO cost + Last Purchase Price,,,,,/app/reports,yes,Pass 11 Jul 2026
daily-costing-all,E040807,Daily Costing Status,L2,All,no,Extended sort/subtotal,,,,,/app/reports,yes,
inv-balance-default,E040701,Inventory Balance,L2,Default,yes,As-of + Inventory Qty range + safety stock,,,,,/app/inventory/reports,yes,Pass 11; menuSeq MENUTREE_001888
inv-balance-location-default,E040711,Inv. Balance by Location,L2,Default,yes,Horizontal location matrix,,,,,/app/inventory/reports,yes,Pass 11 Jul 2026
inv-balance-location-type-h,E040711,Inv. Balance by Location Type,L2,by Location (Horizontal),yes,Vertical toggle,,,,,/app/inventory/reports,yes,
inv-balance-relation-default,E040728,Inv. Balance by Item Relation,L2,Default,yes,Item relation rollup,,,,,/app/inventory/reports,yes,Pass 11 Jul 2026
inv-book-default,E040702,Inv. Book,L2,Default,yes,Stock ledger + Display Price radios,,,,,/app/inventory/reports,yes,Pass 11 Jul 2026
inv-book-all,E040702,Inv. Book,L2,All,no,Extended price/cost options,,,,,/app/inventory/reports,yes,
inv-change-history-default,E040719,Inventory Change History,L2,Default,yes,Summary type pivot,,,,,/app/inventory/reports,yes,Pass 11 Jul 2026
inv-change-history-type-summary,E040719,Inventory Change History Type,L2,Summary,yes,Daily/Monthly toggles,,,,,/app/inventory/reports,yes,
inv-aging-default,E040727,Inventory Aging Details,L2,Default,yes,As-of aging buckets,,,,,/app/inventory/reports,yes,Pass 11 Jul 2026
sales-invoice-acct-default,N000118,Sales Invoice Status (Acct. I),L2,Default,yes,menuType MENUTREE_000001; mirror N000119,,,,,/app/finance/reports,yes,Pass 11 Jul 2026
purchase-invoice-acct-default,N000126,Purchase Invoice Status (Acct. I),L2,Default,yes,menuType MENUTREE_000001; mirror N000127,,,,,/app/finance/reports,yes,Pass 11 Jul 2026
inv-balance-multispec-default,E040720,Inv. Balance by Multi Spec.,L2,Default,yes,As-of + Spec. Group/Code 1-3,,,,,/app/inventory/reports,yes,Pass 12 Jul 2026
inv-balance-multispec-all,E040720,Inv. Balance by Multi Spec.,L2,All,no,Extended sort/subtotal,,,,,/app/inventory/reports,yes,
inv-balance-multispec-type-v,E040720,Inv. Balance by Multi Spec. Type,L2,by Multi Spec. Item (Vertical),yes,Horizontal toggle; Include Zero Inv. Qty disabled,,,,,/app/inventory/reports,yes,
inv-balance-bom-default,E040726,Inv. balance converted by BOM,L2,Default,yes,As-of + BOM parent Item Code,,,,,/app/inventory/reports,yes,Pass 12 Jul 2026
daily-report-default,E040708,Daily Report,L2,Default,yes,Date range + customer relation type,,,,,/app/inventory/reports,yes,Pass 12 Jul 2026
daily-report-all,E040708,Daily Report,L2,All,no,Extended type options,,,,,/app/inventory/reports,yes,
jo-status-default,E040413,Job Order Status,L2,Default,yes,J/O No. + delivery date range,,,,,/app/job-costing/reports,yes,Pass 12 Jul 2026
jo-status-type-details,E040413,Job Order Status Type,L2,Details,yes,Summary + by Line,,,,,/app/job-costing/reports,yes,
jo-progress-default,E040414,Progress Status by J/O,L2,Default,yes,Base Date business cycle,,,,,/app/job-costing/reports,yes,Pass 12 Jul 2026
jo-progress-type-production,E040414,Progress Status by J/O Type,L2,Production Progress Status,yes,GI progress + std vs act + job progress,,,,,/app/job-costing/reports,yes,
gi-status-default,E040409,Goods Issued Status,L2,Default,yes,Goods Issued No. + date range,,,,,/app/job-costing/reports,yes,Pass 12 Jul 2026
gi-status-type-details,E040409,Goods Issued Status Type,L2,Details,yes,Summary + by Line,,,,,/app/job-costing/reports,yes,
gr-status-default,E040410,Goods Receipt Status,L2,Default,yes,GR No. + Payable No. + GR I/II/III,,,,,/app/job-costing/reports,yes,Pass 12 Jul 2026
gr-status-type-details,E040410,Goods Receipt Status Type,L2,Details,yes,Summary + by Line,,,,,/app/job-costing/reports,yes,
sales-purch-summary-default,E040725,Sales/Purchases Summary,L2,Default,yes,Summary Condition 1/2/Target + comparison,,,,,/app/reports,yes,Pass 13 Jul 2026
summary-default,E040710,Summary,L2,Default,yes,Menu Type Sales default + PIC condition,,,,,/app/reports,yes,Pass 13 Jul 2026
summary-menu-sales,E040710,Summary Menu Type,L2,Sales,yes,Purchases/SO/PO/GR/Sales-Purchases toggles,,,,,/app/reports,yes,
price-change-default,E040819,Price Change History,L2,Default,yes,by Slip + Simple Average Price,,,,,/app/inventory/reports,yes,Pass 13 Jul 2026
price-change-all,E040819,Price Change History,L2,All,no,Project/PIC extended filters,,,,,/app/inventory/reports,yes,
mgmt-report-default,E040704,Management Report,L2,Default,yes,Date-only template report,,,,,/app/reports,yes,Pass 13 Jul 2026
mgmt-report-all,E040704,Management Report,L2,All,no,Extended template drawer,,,,,/app/reports,yes,
status-grand-default,E040709,Status Grand Total,L2,Default,yes,Vertical display + comparison period,,,,,/app/reports,yes,Pass 13 Jul 2026
status-grand-type-v,E040709,Status Grand Total Type,L2,Vertical,yes,Horizontal toggle,,,,,/app/reports,yes,
txn-history-default,E040716,View Transaction History,L2,Default,yes,Slip vs Basic Code audit trail,,,,,/app/reports,yes,Pass 13; title Change History
cv-book1-default,E010833,Customer/Vendor Book I,L2,Default,yes,AR/AP toggle + five summary types,,,,,/app/finance/reports,yes,Pass 13 Jul 2026
cv-book1-type-receivable,E010833,Customer/Vendor Book I Account,L2,Receivable,yes,Payables toggle,,,,,/app/finance/reports,yes,
cv-book2-default,E010842,Customer/Vendor Book II,L2,Default,yes,Summary book Receivable default,,,,,/app/finance/reports,yes,Pass 13 Jul 2026
cv-book2-all,E010842,Customer/Vendor Book II,L2,All,no,Foreign currency amount option,,,,,/app/finance/reports,yes,
msg-log-all,E010851,Message Log status pills,L2,All,yes,Unconfirmed/Confirm/SB/Sent Msg,,,,,/app/reports/communication,yes,Pass 14; title Msg.
msg-log-unconfirmed,E010851,Message Log status pills,L2,Unconfirmed,no,Pending messages,,,,,/app/reports/communication,yes,
msg-log-sent,E010851,Message Log status pills,L2,Sent Msg,no,Outbox view,,,,,/app/reports/communication,yes,
sent-doc-default,E010858,Sent Doc. History,L2,Default,yes,by Line + All/Email channel,,,,,/app/reports/communication,yes,Pass 14 Jul 2026
sent-doc-type-line,E010858,Sent Doc. History Type,L2,by Line,yes,SMS/LMS/Kakao in drawer,,,,,/app/reports/communication,yes,
proof-center-default,E040730,Proof Center,L2,Default,yes,Voucher date + proof method filters,,,,,/app/reports/proof,yes,Pass 14 Jul 2026
proof-method-receipts,E040730,Proof Center Proof Method,L2,Attach Receipts,yes,e-Sign toggle,,,,,/app/reports/proof,yes,
cash-report-default,E010830,Cash Report,L2,Default,yes,Date + dept/project + Status preset,,,,,/app/finance/reports,yes,Pass 15 Jul 2026
cash-report-all,E010830,Cash Report,L2,All,no,Extended template drawer,,,,,/app/finance/reports,yes,
cash-flow-default,E010805,Cash Flow,L2,Default,yes,Same Period Prev. Day comparison,,,,,/app/finance/reports,yes,Pass 15 Jul 2026
cash-flow-all,E010805,Cash Flow,L2,All,no,Extended template drawer,,,,,/app/finance/reports,yes,
fund-stmt-default,E010804,Fund Statement,L2,Default,yes,Customer relation Standard/Individual,,,,,/app/finance/reports,yes,Pass 15 Jul 2026
fund-stmt-all,E010804,Fund Statement,L2,All,no,Extended template drawer,,,,,/app/finance/reports,yes,
fund-inde-default,E010815,Fund In./De. Details,L2,Default,yes,Date + dept/project line detail,,,,,/app/finance/reports,yes,Pass 15 Jul 2026
fund-inde-all,E010815,Fund In./De. Details,L2,All,no,Extended template drawer,,,,,/app/finance/reports,yes,
monthly-is-default,E010819,Monthly Income Statement,L2,Default,yes,Month range + Beginning/Increase/Ending,,,,,/app/finance/reports,yes,Pass 15 Jul 2026
monthly-is-all,E010819,Monthly Income Statement,L2,All,no,Extended template drawer,,,,,/app/finance/reports,yes,
monthly-cost-default,E010824,Monthly Cost,L2,Default,yes,Type Manufacturing/Service/Etc.,,,,,,/app/finance/reports,yes,Pass 15 Jul 2026
monthly-cost-type-mfg,E010824,Monthly Cost Type,L2,Manufacturing,yes,Service + Etc. toggles,,,,,/app/finance/reports,yes,
arap-aging-default,E010822,AR/AP Aging,L2,Default,yes,As-of + customer/account/dept/PIC,,,,,/app/finance/reports,yes,Pass 15 Jul 2026
arap-aging-all,E010822,AR/AP Aging,L2,All,no,Extended template drawer,,,,,/app/finance/reports,yes,
arap-aging-dtl-default,E010823,AR/AP Aging Details,L2,Default,yes,Receivable/Payables + Summary by PIC,,,,,/app/finance/reports,yes,Pass 15 Jul 2026
arap-aging-dtl-receivable,E010823,AR/AP Aging Details Account,L2,Receivable,yes,Payables toggle,,,,,/app/finance/reports,yes,
acct-mgmt-report-default,E010821,Management Report (Acct. I),L2,Default,yes,Type chart template selector,,,,,/app/finance/reports,yes,Pass 15; distinct from E040704
acct-mgmt-report-all,E010821,Management Report (Acct. I),L2,All,no,Extended template drawer,,,,,/app/finance/reports,yes,
acct-summary-default,E010843,Accounting Summary,L2,Default,yes,Summary Condition 1-3 + Target,,,,,/app/finance/reports,yes,Pass 15 Jul 2026
acct-summary-all,E010843,Accounting Summary,L2,All,no,Extended template drawer,,,,,/app/finance/reports,yes,
sales-summary-default,N000121,Sales Summary,L2,Default,yes,Pretax+Tax amount + Exclude Duplicate by Month,,,,,/app/finance/reports,yes,Pass 15; N-prefix Acct. I hash
purchase-summary-default,N000128,Purchase Summary,L2,Default,yes,Mirror N000121 purchase side,,,,,/app/finance/reports,yes,Pass 15 Jul 2026
pay-journal-sum-default,E010835,Payments Journal Sum.,L2,Default,yes,Details/Summary + by Bank Account type,,,,,/app/finance/reports,yes,Pass 15 Jul 2026
pay-journal-sum-type-line,E010835,Payments Journal Sum. Type,L2,by Line,yes,by Bank Account and Account + Recalculate,,,,,/app/finance/reports,yes,
rcpt-journal-sum-default,E010836,Receipts Journal Sum.,L2,Default,yes,Deposit Account filter,,,,,/app/finance/reports,yes,Pass 15 Jul 2026
sa-journal-sum-default,E010840,S/A Journal Sum.,L2,Default,yes,by Employee and Account type,,,,,/app/finance/reports,yes,Pass 15 Jul 2026
sa-journal-sum-type-emp,E010840,S/A Journal Sum. Type,L2,by Employee and Account,yes,Recalculate by Account,,,,,/app/finance/reports,yes,
voucher-status-default,E010847,Voucher Status,L2,Default,yes,Details/Summary + by Slip type,,,,,/app/finance/reports,yes,Pass 16; site map Accounting Transaction Status
voucher-status-type-slip,E010847,Voucher Status Type,L2,by Slip,yes,Daily/Monthly/By Customer-Vendor,,,,,/app/finance/reports,yes,
print-voucher-default,E010702,Print Voucher,L2,Default,yes,Initial/Last Modifier + Sort by Modified Date,,,,,/app/finance/reports,yes,Pass 16 Jul 2026
print-voucher-all,E010702,Print Voucher,L2,All,no,Extended template drawer,,,,,/app/finance/reports,yes,
acct-vs-inv-default,E010730,Accounting vs. Inventory,L2,Default,yes,Acct + Inv side filters + Pretax/Total,,,,,/app/finance/reports,yes,Pass 16 Jul 2026
acct-vs-inv-type-sales,E010730,Accounting vs. Inventory Inv. Type,L2,Sales,yes,Other inv types in drawer,,,,,/app/finance/reports,yes,
acct-vs-inv-all,E010730,Accounting vs. Inventory,L2,All,no,Initial Creator + Last Modifier,,,,,/app/finance/reports,yes,
acct-txn-history-default,E010712,Change History (Acct.),L2,Default,yes,Voucher Status All/e-Apvl/Unconfirmed/Confirm,,,,,/app/finance/reports,yes,Pass 16; distinct from E040716
acct-txn-history-all,E010712,Change History (Acct.),L2,All,no,Extended template drawer,,,,,/app/finance/reports,yes,
acct-all-in-one-customer,E040627,All-In-One I (Acct. I),L0,Customer workspace,yes,Quick links AR/AP/Sales/Purchase/Slip Entry,,,,,/app/reports,yes,Pass 16; menuSeq MENUTREE_001352
update-balance-acct,E010705,Update Balance for Accounting,action,—,yes,Start/End month + F8 rebuild,,,,,/app/finance/period-close,yes,Pass 16 Jul 2026
bluearm-header-finance-reports,,,Bluearm shell,L0,Finance reports (hidden),no,AR/AP aging budget reports etc,,,,,finance workspace + /app/reports,yes,2026-06-23 visibleHeaderFeatures
bluearm-header-inventory-reports,,,Bluearm shell,L0,Inventory reports (hidden),no,Stock balance ledger ageing etc,,,,,stock workspace + /app/reports,yes,2026-06-23 visibleHeaderFeatures
bluearm-selling-workspace,,,Bluearm /app/selling,L0,Selling workspace,yes,KPI tiles + report links,,,,,/app/selling,yes,2026-06-23 wired SellingWorkspacePage
